question_number,question_text
"1","Cuando camino noto deliberadamente las sensaciones de mi cuerpo al moverse."
"2","Se me da bien encontrar las palabras para describir mis sentimientos."
"3","Me critico a mi mismo/a por tener emociones irracionales o inapropiadas."
"4","Percibo mis sentimientos y emociones sin tener que reaccionar a ellos."
"5","Cuando hago algo mi mente divaga y me distraigo fácilmente."
"6","Cuando me ducho o me baño estoy atento a las sensaciones del agua en mi cuerpo."
"7","Con facilidad puedo poner en palabras mis creencias sentimientos y expectativas."
"8","No presto atención a lo que hago porque sueño despierto porque me preocupo o porque me distraigo."
"9","Observo mis sentimientos sin perderme en ellos."
"10","Me digo a mi mismo/a que no debería sentir lo que siento."
"11","Noto cómo los alimentos y las bebidas afectan a mis pensamientos sensaciones corporales y emociones."
"12","Me es difícil encontrar palabras para describir lo que siento."
"13","Me distraigo fácilmente."
"14","Creo que algunos de mis pensamientos no son normales o son malos y que no debería pensar así."
"15","Presto atención a las sensaciones que produce el viento en el pelo o el sol en la cara."
"16","Tengo problemas para pensar en las palabras que expresan correctamente cómo me siento."
"17","Hago juicios sobre si mis pensamientos son buenos o malos."
"18","Me es difícil permanecer centrado/a en lo que esta sucediendo en el presente."
"19","Cuando tengo pensamientos o imágenes perturbadoras soy capaz de dar un paso atrás y me doy cuenta del pensamiento o la imagen sin que me atrape."
"20","Presto atención a sonidos como el tic-tac del reloj el gorjeo de los pájaros o los coches que pasan."
"21","En situaciones difíciles puedo parar sin reaccionar inmediatamente."
"22","Cuando tengo sensaciones en el cuerpo es difícil para mí describirlas porque no puedo encontrar las palabras adecuadas."
"23","Conduzco en “piloto automático” sin prestar atención a lo que hago. "
"24","Cuando tengo pensamientos o imágenes perturbadoras me calmo en poco tiempo."
"25","Me digo a mi mismo/a que no debería pensar como pienso."
"26","Percibo el olor y el aroma de las cosas."
"27","Incluso cuando estoy muy enfadado encuentro una forma de expresarlo con palabras."
"28","Hago actividades precipitadamente sin estar de verdad atento/a a ellas."
"29","Cuando tengo pensamientos o imágenes perturbadoras soy capaz de notarlas sin reaccionar."
"30","Creo que algunas de mis emociones son malas o inapropiadas y que no debería sentirlas."
"31","Percibo elementos visuales en la naturaleza o en el arte como colores formas texturas o patrones de luces y sombras."
"32","Mi tendencia natural es poner mis experiencias en palabras."
"33","Cuando tengo pensamientos o imágenes perturbadoras las noto y las dejo marchar."
"34","Hago tareas automáticamente sin ser consciente de lo que hago."
"35","Cuando tengo pensamientos o imágenes perturbadoras me juzgo como bueno o malo dependiendo del contenido."
"36","Presto atención a cómo mis emociones afectan a mis pensamientos y a mi conducta."
"37","Normalmente puedo describir como me siento con considerable detalle."
"38","Me sorprendo haciendo cosas sin prestar atención."
"39","Me critico cuando tengo ideas irracionales."
